"version_id","version_name","volume_id","volume_name","sense_id","sort","status"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1001","1","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1002","2","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1003","3","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1004","4","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1005","5","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1006","6","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1007","7","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1008","8","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1009","9","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1010","10","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1011","11","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1012","12","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1013","13","1"
"5e21a87b47a648eb9da56a51381e1611","统编版（2024）六三制","cd7333ee86389c1aeb234dca6d110508","七年级上册","1014","14","1"
