"version_id","version_name","volume_id","volume_name","unit_id","unit_name","chapter","word_class","word","sense_id"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","实词","芣苢","1"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","虚词","薄言","2"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","实词","采","3"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","实词","有","4"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","实词","掇","5"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","实词","捋","6"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","实词","袺","7"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a738eb5ca76659a9e8f67ef5659434d4","第一单元（课内）","《芣苢》","实词","襭","8"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","已","9"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","中","10"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","輮","11"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","砺","12"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","参省","13"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","知","14"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","跂","15"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","假","16"
"00b6bf17df4345109f570bf0273705f3","部编版","1a84b7ac1ef9d3b5d624d994c88f239a","高中必修上册","a453b281b71fd478be1d9d791307bf5c","第五单元（课内）","《劝学》","实词","绝","17"
